Player,Year,Age,Games_Played,Minutes_Per_Game,Field_Goal_Percent,Three_Point_Percent,Free_Throw_Percent,Points_Per_Game,Rebounds_Per_Game,Assists_Per_Game,Steals_Per_Game,Blocks_Per_Game,Turnovers_Per_Game,Usage_Percent,Years_In_League,Salary,Points_Efficiency,Rebound_Assist_Ratio,Turnover_Usage_Ratio,Age_Experience_Gap,Prime_Age_Factor,Shooting_Accuracy,Defensive_Impact,Experience_Level,Position_C,Position_PF,Position_PG,Position_SF,Position_SG,Team_BOS,Team_DEN,Team_GSW,Team_LAL,Team_MIA,Team_PHX
Player_0,0.29052096445868886,-0.36069743454182696,0.6104636455037412,-0.4576847016042869,-1.8933635283121888,0.3624632119984746,-0.9225496871075533,0.792760499047081,-0.4203424836033624,0.049696765799791466,-1.1543801166540588,-2.016570028265079,-1.5948007574529037,-0.2540396176832063,1.0640470005644433,0.1072768181809623,0.8543588061973408,-0.03474154748433088,-0.004908029927565043,-1.1048346519008652,0.48785653635800325,-1.2474306728540934,-2.286978149940012,Veteran,False,False,False,False,True,False,False,False,False,False,True
Player_1,0.8715628933760665,-1.1152945779347698,1.0313279305804324,0.5044241260733464,0.4511496508687099,-0.7551615302089921,0.48520812944201774,2.5311297252338827,-1.9120989775897799,1.1191179877685447,0.28397348846813664,0.15208092345703092,1.4775929606957379,0.9216408723598385,0.6982694135708224,0.1072768181809623,1.6179859691357346,-0.14265305194601652,0.05623691949553976,-1.2571836110708687,-0.7420338914352835,0.011817977670474853,0.2833025361816277,Veteran,False,False,True,False,False,False,False,False,False,False,True
Player_2,-0.29052096445868886,1.6515616145060208,-0.02083278211129551,1.009920403985527,1.2395944202759883,0.4248361787765197,0.09275063544938325,0.8388604639782352,-0.520453111778812,0.3202435846078751,-0.6978480532296708,0.8102188492293402,0.37346933467733084,-0.763608287044186,-0.947729727900472,0.1072768181809623,0.1591223214547832,-0.05395925054662661,0.07738269022099588,1.7897955723292014,-1.1519973673663786,0.9710119221092947,0.26505575972557355,Early,False,False,False,False,True,True,False,False,False,False,False
Player_3,0.8715628933760665,-1.366826959065751,-1.0729934948030235,0.5211586139237432,-3.381265267649438,-2.7358252860129895,0.4693931637939264,1.0135432105800208,-0.8983933104301921,-0.08398999459469217,-0.0741154170532965,0.4117772213474893,0.29600511078951697,1.7089419185318397,-0.21617455391323007,0.1072768181809623,0.4812591292775929,-0.0653905295475059,0.022869698325600842,-0.6477877743908548,-1.1519973673663786,-3.271780691440245,0.2926104214459765,Peak,False,False,False,False,True,False,False,True,False,False,False
Player_4,0.8715628933760665,-0.36069743454182696,-1.5990738511488873,-0.7538124434660238,0.7484276671078348,0.021114980422971132,-0.6531848250679608,-0.0862630633343142,-1.5572542381412207,-0.6010833866363162,1.4938101578693521,-0.9790208907191355,0.44032863142297074,-1.330726258856553,-1.1306185213972826,0.1072768181809623,0.17257870097052086,-0.11062722861905983,0.12277177360367703,0.7233528581391768,0.48785653635800325,0.07154531168086112,0.04587954499099427,Early,True,False,False,False,False,False,False,True,False,False,False
Player_5,-0.8715628933760665,0.14236732772013497,0.08438328915787728,0.1930303431680805,-0.25352993532819146,1.365387832342043,1.2288400478162103,-1.334001320307769,0.9614940750215804,0.2784535566157305,1.43970820605861,-0.6460528191806413,0.5540264831897662,1.0376160857209553,-1.1306185213972826,0.1072768181809623,-1.2302691230981848,0.04633587223526755,0.03515885140158694,1.0280507764791837,1.3077834882201935,1.3627096097240392,0.2857684118051723,Early,False,False,True,False,False,False,False,False,False,False,True
Player_6,-0.29052096445868886,1.4000292333750397,0.2948154316962229,1.0661286990576018,0.21693970378658406,0.07416981861037236,0.10114970250984882,-2.241049329483503,0.2736522463597077,-0.4082417347387165,2.061200847223447,0.2690916715766225,0.8482160069419911,0.5336977019312256,1.0640470005644433,0.1072768181809623,-1.8972099199577814,0.06566807036997245,0.05022150513871664,-0.038391937710840714,-0.7420338914352835,0.2136528040698238,1.3785707065860504,Veteran,False,False,True,False,False,False,False,True,False,False,False
Player_7,-0.29052096445868886,-1.366826959065751,-0.9677774235338507,2.1436454071622757,-0.35525066338131384,1.7607010379149153,0.758304877459919,-0.47293693616211846,0.8388371486603753,0.15868143312285127,1.512436206975068,-0.9465755221446654,-0.6050090913836154,2.3847770607524956,1.2469357940612538,0.1072768181809623,-0.8846135992928089,0.0485690979535103,0.004321433137450357,-1.8665794477508828,-1.1519973673663786,1.3157770721392534,0.0827053220354118,Veteran,False,False,True,False,False,False,False,False,True,False,False
Player_8,-0.29052096445868886,1.1484968522440588,0.8208957880420868,-0.28421964805383193,1.0262327251962182,-0.29558204759490386,0.3774997499141823,-2.5215139973728022,-0.5500508431768405,-0.1369606425224041,2.2286898910402577,-1.3927689128426621,-0.6653716397250224,-1.109003307932118,0.8811582070676328,0.1072768181809623,-2.251544399658196,-0.034390082048969824,0.04723316521238735,-0.038391937710840714,-0.33207041550418837,0.5502748536972069,0.12356312318722755,Veteran,False,False,True,False,False,False,False,False,False,False,True
Player_9,0.8715628933760665,0.14236732772013497,-0.4416970671879867,0.7892910824823306,0.3226915094039108,1.0121883977486485,0.23114267659274715,0.5527268608841354,-0.0678016608640908,-0.43246795617784045,0.38838703902893773,-0.26172600143943264,0.06405809575172461,-2.308973876925701,-1.1306185213972826,0.1072768181809623,0.04105446981441787,0.03501717545255247,0.49502583594270677,1.0280507764791837,1.3077834882201935,0.9290515508245702,0.006096707167773107,Early,False,False,True,False,False,False,False,False,False,False,True
